variable_id,display_name,concept_family,sector_boundary,account_position,source_status,candidate_status,constructibility_status,allowed_use,prohibited_use,downstream_stage,notes,provider_release_commit,s21_intake_status,object_admissibility,can_enter_model_input_preparation,can_enter_modeling,can_construct_adjusted_shaikh,blocked_or_parked_status,s22_disposition,s22_planning_allowed,can_construct_variable_now,can_model_now,can_construct_adjusted_shaikh_now,provider_v1_commit,s21_commit,s22_notes
FIN__IPP__gross_stock_current_cost,FIN_intellectual_property_products_gross_stock_current_cost,downstream_GPIM_benchmark,FIN,fixed_assets,not_available,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Preserve as a required gap. Do not substitute net stock or construct GPIM here.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
FIN__IPP__net_stock_current_cost,FIN_intellectual_property_products_net_stock_current_cost,frontier_conditioning_variables,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
FIN__IPP__net_stock_quantity_index,FIN_intellectual_property_products_net_stock_quantity_index,frontier_conditioning_variables,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
FIN__IPP__official_price_index,FIN_intellectual_property_products_official_price_index,official_BEA_price_diagnostic,FIN,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
FIN__ME__cfc_current_cost,FIN_machinery_equipment_cfc_current_cost,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
FIN__ME__gross_investment_current_cost,FIN_machinery_equipment_gross_investment_current_cost,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
FIN__ME__gross_stock_current_cost,FIN_machinery_equipment_gross_stock_current_cost,downstream_GPIM_benchmark,FIN,fixed_assets,not_available,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Preserve as a required gap. Do not substitute net stock or construct GPIM here.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
FIN__ME__net_stock_current_cost,FIN_machinery_equipment_net_stock_current_cost,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
FIN__ME__net_stock_quantity_index,FIN_machinery_equipment_net_stock_quantity_index,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
FIN__ME__official_price_index,FIN_machinery_equipment_official_price_index,official_BEA_price_diagnostic,FIN,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
FIN__NRC__cfc_current_cost,FIN_nonresidential_structures_cfc_current_cost,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
FIN__NRC__gross_investment_current_cost,FIN_nonresidential_structures_gross_investment_current_cost,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
FIN__NRC__gross_stock_current_cost,FIN_nonresidential_structures_gross_stock_current_cost,downstream_GPIM_benchmark,FIN,fixed_assets,not_available,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Preserve as a required gap. Do not substitute net stock or construct GPIM here.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
FIN__NRC__net_stock_current_cost,FIN_nonresidential_structures_net_stock_current_cost,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
FIN__NRC__net_stock_quantity_index,FIN_nonresidential_structures_net_stock_quantity_index,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
FIN__NRC__official_price_index,FIN_nonresidential_structures_official_price_index,official_BEA_price_diagnostic,FIN,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
FIN__TOTAL__cfc_current_cost,FIN_total_cfc_current_cost,sector_total_diagnostic,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
FIN__TOTAL__gross_investment_current_cost,FIN_total_gross_investment_current_cost,sector_total_diagnostic,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
FIN__TOTAL__gross_stock_current_cost,FIN_total_gross_stock_current_cost,downstream_GPIM_benchmark,FIN,fixed_assets,not_available,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Preserve as a required gap. Do not substitute net stock or construct GPIM here.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
FIN__TOTAL__net_stock_current_cost,FIN_total_net_stock_current_cost,sector_total_diagnostic,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
FIN__TOTAL__net_stock_quantity_index,FIN_total_net_stock_quantity_index,sector_total_diagnostic,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
FIN__TOTAL__official_price_index,FIN_total_official_price_index,official_BEA_price_diagnostic,FIN,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
NFC__IPP__official_price_index,NFC_intellectual_property_products_official_price_index,official_BEA_price_diagnostic,NFC,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
NFC__ME__official_price_index,NFC_machinery_equipment_official_price_index,official_BEA_price_diagnostic,NFC,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
NFC__NRC__official_price_index,NFC_nonresidential_structures_official_price_index,official_BEA_price_diagnostic,NFC,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
NFC__TOTAL__official_price_index,NFC_total_official_price_index,official_BEA_price_diagnostic,NFC,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
