object_id,candidate_status,s22_planning_allowed,source_observation_rows,dependency_status,missing_dependency,required_before_construction,notes,s23_resolution_action,can_construct_in_s23,priority
FIN__NRC__gross_stock_current_cost,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
FIN__NRC__net_stock_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
FIN__NRC__net_stock_quantity_index,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
FIN__NRC__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
FIN__TOTAL__cfc_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
FIN__TOTAL__gross_investment_current_cost,READY_AS_BASELINE,yes,124,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
FIN__TOTAL__gross_stock_current_cost,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
FIN__TOTAL__net_stock_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
FIN__TOTAL__net_stock_quantity_index,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
FIN__TOTAL__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
NFC__IPP__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
NFC__ME__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
NFC__NRC__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
NFC__TOTAL__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
NFC_AFTER_TAX,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC_PAT,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC_RETAINED,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC_TAX,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC_UNDISTRIBUTED,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
RESIDENTIAL_CAPITAL_MENU,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
DOWNSTREAM__e_adj_CORP,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__ln_e_adj_CORP,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__omega_adj_CORP,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__pi_adj_CORP,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__e_adj_NFC,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__e_x_Kcap,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__e_x_ME,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__e_x_ME_NRC_gap,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__e_x_NRC,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__GOV_TRANS_GPIM,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__IPP_NFC_GPIM,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__K_G_NFC_KCAP_GPIM,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__K_G_NFC_ME_GPIM,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__K_G_NFC_NRC_GPIM,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__K_N_NFC_KCAP_GPIM,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__K_N_NFC_ME_GPIM,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__K_N_NFC_NRC_GPIM,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__ln_e_adj_NFC,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__omega_adj_NFC,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__P_K_NFC_ME_GPIM,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__P_K_NFC_NRC_GPIM,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
DOWNSTREAM__pi_adj_NFC,READY_AS_BASELINE,yes,0,missing_source_observations,source observations,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,locate or fetch source observations in a separate source pass before implementation,no,medium
INVENTORIES_MENU,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
CORP__current_transfer_payments,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
CORP__current_transfer_receipts,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
CORP__dividends_paid,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
CORP__dividends_received,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
CORP__IPP__cfc_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP__IPP__gross_investment_current_cost,READY_AS_BASELINE,yes,124,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP__IPP__gross_stock_current_cost,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
CORP__IPP__net_stock_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP__IPP__net_stock_quantity_index,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP__IPP__retirements,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
CORP__IPP__revaluation_holding_gains,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
CORP__ME__cfc_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP__ME__gross_investment_current_cost,READY_AS_BASELINE,yes,124,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP__ME__gross_stock_current_cost,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
CORP__ME__net_stock_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP__ME__net_stock_quantity_index,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP__ME__retirements,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
CORP__ME__revaluation_holding_gains,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
CORP__NRC__cfc_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP__NRC__gross_investment_current_cost,READY_AS_BASELINE,yes,124,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP__NRC__gross_stock_current_cost,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
CORP__NRC__net_stock_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP__NRC__net_stock_quantity_index,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP__NRC__retirements,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
CORP__NRC__revaluation_holding_gains,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
CORP__TOTAL__cfc_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP__TOTAL__gross_investment_current_cost,READY_AS_BASELINE,yes,124,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP__TOTAL__gross_stock_current_cost,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
CORP__TOTAL__net_stock_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP__TOTAL__net_stock_quantity_index,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP_CFC,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP_COMP,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP_DIVIDENDS_NET,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP_GVA,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP_NET_INT,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP_NOS,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP_NVA,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP_PBT,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP_PROFITS_IVA_CC,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP_TRANSFERS_NET,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
T711_L52,READY_AS_BASELINE,yes,79,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
T711_L53,READY_AS_BASELINE,yes,39,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
T711_L73,READY_AS_BASELINE,yes,79,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
T711_L74,READY_AS_BASELINE,yes,79,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
T711_L91,READY_AS_BASELINE,yes,79,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
FIN__current_transfer_payments,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
FIN__current_transfer_receipts,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
FIN__dividends_paid,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
FIN__dividends_received,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
FIN_CFC,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,no,0,missing_construction_authorization,human review; construction authorization; downstream stage authorization,future variable construction planning approval; no construction in S22,Candidate preserved; not promoted.,obtain human review and explicit construction authorization; do not implement in S23,no,high_review_required
