asset_id,relative_path,asset_title,asset_family,asset_function,supports_ws_corridor,supports_ar_corridor,supports_overlap,ws_dimension_primary,ws_dimension_secondary,mechanism_family,support_role,evidentiary_role,drafting_role,periodization_role,usable_for_codex,usable_for_deepread_prioritization,usable_for_variable_hardening,translation_risk,status,comments
ASSET_018,docs/chile_project_assets/05_links_to_corridors/ar_support_assets.md,AR Support Assets,bridge_note,support_note,no,yes,yes,unclear,unclear,unclear,overlap_support,none,low,low,with_caution,no,no,medium,context_only,"Thin AR bridge note. Retain as reminder, not as WS operational asset."
ASSET_019,docs/chile_project_assets/05_links_to_corridors/overlap_hinge_assets.md,Overlap Hinge Assets,bridge_note,support_note,yes,yes,yes,"Diplomatic isolation, blockade, recognition, and alliance structure",External constraint / balance-of-payments / trade dependency,diplomatic_isolation,overlap_support,none,low,medium,yes,yes,partial,low,keep_active,Best bridge note for overlap routing between corridor materials and AR-facing hinge work.
ASSET_020,docs/chile_project_assets/05_links_to_corridors/ws_support_assets.md,WS Support Assets,bridge_note,support_note,yes,no,yes,External constraint / balance-of-payments / trade dependency,"Diplomatic isolation, blockade, recognition, and alliance structure",financial_strangulation,workflow_control,none,low,medium,yes,yes,partial,low,keep_active,"Explicit bridge note for how the asset layer should support, not replace, the WS corridor."
ASSET_021,docs/chile_project_assets/06_original_bundle_mirror/UP_asset_pack/01_Abstracts_and_Pitch_Versions.md,Abstracts and Pitch Versions (mirror),communication,talk_script,yes,yes,yes,unclear,unclear,unclear,drafting_support,none,high,none,no,no,no,high,exclude_from_ws_ops,Mirror duplicate of docs/chile_project_assets/04_communication/abstracts_and_pitch_versions.md. Retain for provenance only and exclude from active WS operations.
ASSET_022,docs/chile_project_assets/06_original_bundle_mirror/UP_asset_pack/02_Talk_Script_12_Minutes.md,Talk Script 12 Minutes (mirror),communication,talk_script,yes,yes,yes,unclear,unclear,unclear,drafting_support,none,high,none,no,no,no,high,exclude_from_ws_ops,Mirror duplicate of docs/chile_project_assets/04_communication/talk_script_12_minutes.md. Retain for provenance only and exclude from active WS operations.
ASSET_023,docs/chile_project_assets/06_original_bundle_mirror/UP_asset_pack/03_Argument_Evidence_Matrix.md,Argument-Evidence Matrix (mirror),argument_architecture,argument_map,yes,yes,yes,External constraint / balance-of-payments / trade dependency,Strategic commodities / copper / resource sovereignty,financial_strangulation,variable_support,secondary_support,medium,high,no,no,no,high,exclude_from_ws_ops,Mirror duplicate of docs/chile_project_assets/02_argument_architecture/argument_evidence_matrix.md. Retain for provenance only and exclude from active WS operations.
ASSET_024,docs/chile_project_assets/06_original_bundle_mirror/UP_asset_pack/04_Periodization_Control_Sheet.md,Periodization Control Sheet (mirror),argument_architecture,periodization_control,yes,yes,yes,External constraint / balance-of-payments / trade dependency,Crisis of Atlantic Fordism / world monetary disorder,financial_strangulation,periodization_support,secondary_support,medium,high,no,no,no,high,exclude_from_ws_ops,Mirror duplicate of docs/chile_project_assets/02_argument_architecture/periodization_control_sheet.md. Retain for provenance only and exclude from active WS operations.
ASSET_025,docs/chile_project_assets/06_original_bundle_mirror/UP_asset_pack/05_Paper_Conversion_Blueprint.md,Paper Conversion Blueprint (mirror),argument_architecture,argument_map,yes,yes,yes,unclear,unclear,unclear,drafting_support,none,high,low,no,no,no,high,exclude_from_ws_ops,Mirror duplicate of docs/chile_project_assets/02_argument_architecture/paper_conversion_blueprint.md. Retain for provenance only and exclude from active WS operations.
ASSET_026,docs/chile_project_assets/06_original_bundle_mirror/UP_asset_pack/06_Handout_One_Page.md,Handout One Page (mirror),communication,handout,yes,yes,yes,unclear,unclear,unclear,drafting_support,none,high,none,no,no,no,high,exclude_from_ws_ops,Mirror duplicate of docs/chile_project_assets/04_communication/handout_one_page.md. Retain for provenance only and exclude from active WS operations.
ASSET_027,docs/chile_project_assets/06_original_bundle_mirror/UP_asset_pack/07_Source_Integration_Map_1925_1958.md,Source Integration Map 1925-1958 Backbone (mirror),source_control,source_integration_map,yes,yes,yes,Inter-American order / hemispheric security doctrine,U.S. interventionism,security_doctrine_legitimation,periodization_support,indirect,low,high,no,no,no,high,exclude_from_ws_ops,Mirror duplicate of docs/chile_project_assets/01_source_control/corpus_backbone_maps/source_integration_map_1925_1958.md. Retain for provenance only and exclude from active WS operations.
ASSET_028,docs/chile_project_assets/06_original_bundle_mirror/UP_asset_pack/README_asset_pack.md,UP Asset Pack README,other,index,yes,yes,yes,unclear,unclear,unclear,workflow_control,none,low,none,with_caution,no,no,low,reserve,Packaging readme for the original asset pack. Preserve for provenance only.
ASSET_029,docs/chile_project_assets/06_original_bundle_mirror/Unidad Popular/00_PLAN_DE_ARTIFACTO.md,Unidad Popular Plan de Artefacto,other,support_note,yes,yes,yes,unclear,unclear,unclear,workflow_control,none,medium,low,with_caution,no,no,medium,reserve,Backlog and package-planning note from the original bundle. Useful for provenance and sequencing memory only.
ASSET_030,docs/chile_project_assets/06_original_bundle_mirror/Unidad Popular/01_NOTA_MAESTRA.md,Nota maestra (mirror),manuscript_reservoir,manuscript,yes,yes,yes,External constraint / balance-of-payments / trade dependency,unclear,unclear,drafting_support,none,high,medium,no,no,no,high,exclude_from_ws_ops,Mirror duplicate of docs/chile_project_assets/03_manuscript_reservoir/nota_maestra.md. Retain for provenance only and exclude from active WS operations.
ASSET_031,docs/chile_project_assets/06_original_bundle_mirror/Unidad Popular/02_MAPA_ARGUMENTAL.md,Mapa argumental (mirror),argument_architecture,argument_map,yes,yes,yes,External constraint / balance-of-payments / trade dependency,Strategic commodities / copper / resource sovereignty,trade_channel_disruption,mechanism_support,indirect,medium,medium,no,no,no,high,exclude_from_ws_ops,Mirror duplicate of docs/chile_project_assets/02_argument_architecture/mapa_argumental.md. Retain for provenance only and exclude from active WS operations.
ASSET_032,docs/chile_project_assets/06_original_bundle_mirror/Unidad Popular/03_LEDGER_DE_FUENTES.md,Ledger de fuentes (mirror),source_control,ledger,yes,yes,yes,External constraint / balance-of-payments / trade dependency,Transnational capital / multinational corporate power,financial_strangulation,source_routing,indirect,low,medium,no,no,no,high,exclude_from_ws_ops,Mirror duplicate of docs/chile_project_assets/01_source_control/ledger_de_fuentes.md. Retain for provenance only and exclude from active WS operations.
ASSET_033,docs/chile_project_assets/06_original_bundle_mirror/Unidad Popular/04_BIBLIOGRAFIA_Y_AUDITORIA.md,Bibliografia y auditoria (mirror),source_control,bibliography_audit,yes,yes,yes,External constraint / balance-of-payments / trade dependency,U.S. interventionism,financial_strangulation,source_routing,indirect,low,low,no,no,no,high,exclude_from_ws_ops,Mirror duplicate of docs/chile_project_assets/01_source_control/bibliografia_y_auditoria.md. Retain for provenance only and exclude from active WS operations.
ASSET_034,docs/chile_project_assets/06_original_bundle_mirror/Unidad Popular/05_REGISTRO_DE_TABLAS_Y_FIGURAS.md,Registro de tablas y figuras,argument_architecture,index,yes,yes,yes,External constraint / balance-of-payments / trade dependency,Strategic commodities / copper / resource sovereignty,unclear,variable_support,indirect,medium,medium,yes,no,yes,low,keep_active,"Unique variable-hardening aid for tables and figures around distribution, profitability, sector structure, and macro constraints."
ASSET_035,docs/chile_project_assets/06_original_bundle_mirror/Unidad Popular/06_PROXIMOS_PASOS.md,Unidad Popular Proximos Pasos,other,support_note,yes,yes,yes,unclear,unclear,unclear,workflow_control,none,medium,low,with_caution,no,partial,medium,reserve,"Backlog note that can help sequence future intake, but it should not drive classification."
ASSET_036,docs/chile_project_assets/06_original_bundle_mirror/Unidad Popular/README.md,Unidad Popular Mirror README,other,index,yes,yes,yes,unclear,unclear,unclear,workflow_control,none,low,none,with_caution,no,no,low,reserve,Provenance readme for the mirror bundle. Keep for traceability only.
ASSET_037,docs/chile_project_assets/06_original_bundle_mirror/Unidad Popular/assets/README.md,Unidad Popular Assets README,other,index,yes,yes,yes,unclear,unclear,unclear,workflow_control,none,low,none,no,no,no,low,reserve,Naming and file-convention note for the mirror assets folder. Not operational for WS.
ASSET_038,docs/chile_project_assets/06_original_bundle_mirror/Unidad Popular/source/apunte_HistoriaSocial_19571973.pdf,Apunte Historia Social 1957-1973 Mirror PDF,manuscript_reservoir,support_note,yes,yes,yes,U.S. interventionism,Inter-American order / hemispheric security doctrine,security_doctrine_legitimation,context_only,none,medium,medium,with_caution,no,no,high,reserve,"Background PDF stored inside the mirror bundle. Treat as reservoir or follow-up candidate, not as WS evidence by default."
ASSET_039,docs/chile_project_assets/06_original_bundle_mirror/industrial_patronage/industrial_patronage_artifact_pack_index.md,Industrial Patronage Artifact Pack Index,other,index,yes,yes,yes,unclear,unclear,unclear,workflow_control,none,low,none,with_caution,no,no,low,reserve,"Unique mirror-side index. Preserve for provenance, but it does not add operational support beyond the curated layer."
ASSET_040,docs/chile_project_assets/06_original_bundle_mirror/industrial_patronage/industrial_patronage_dissertation_reframing_workbench.md,Dissertation Reframing Workbench (mirror),argument_architecture,reframing_workbench,yes,yes,yes,Crisis of Atlantic Fordism / world monetary disorder,Transnational capital / multinational corporate power,unclear,overlap_support,none,high,medium,no,no,no,high,exclude_from_ws_ops,Mirror duplicate of docs/chile_project_assets/02_argument_architecture/dissertation_reframing_workbench.md. Retain for provenance only and exclude from active WS operations.
ASSET_041,docs/chile_project_assets/06_original_bundle_mirror/industrial_patronage/industrial_patronage_english_apa.md,Industrial Patronage English APA Manuscript Reservoir (mirror),manuscript_reservoir,manuscript,yes,yes,yes,Transnational capital / multinational corporate power,Strategic commodities / copper / resource sovereignty,commodity_sovereignty_conflict,drafting_support,secondary_support,high,medium,no,no,no,high,exclude_from_ws_ops,Mirror duplicate of docs/chile_project_assets/03_manuscript_reservoir/industrial_patronage_english_apa.md. Retain for provenance only and exclude from active WS operations.
ASSET_042,docs/chile_project_assets/06_original_bundle_mirror/industrial_patronage/industrial_patronage_reference_master_ledger.md,Industrial Patronage Reference Master Ledger (mirror),source_control,ledger,yes,yes,yes,Transnational capital / multinational corporate power,External constraint / balance-of-payments / trade dependency,transnational_corporate_retaliation,source_routing,indirect,medium,medium,no,no,no,high,exclude_from_ws_ops,Mirror duplicate of docs/chile_project_assets/01_source_control/reference_master_ledgers/industrial_patronage_reference_master_ledger.md. Retain for provenance only and exclude from active WS operations.
ASSET_043,docs/chile_project_assets/06_original_bundle_mirror/reusable_ledger/master_ledger.md,Master Ledger: Schools of Thought on the Political Economy of the UP (mirror),source_control,ledger,yes,yes,yes,External constraint / balance-of-payments / trade dependency,Crisis of Atlantic Fordism / world monetary disorder,financial_strangulation,overlap_support,indirect,medium,medium,no,no,no,high,exclude_from_ws_ops,Mirror duplicate of docs/chile_project_assets/01_source_control/reference_master_ledgers/master_ledger.md. Retain for provenance only and exclude from active WS operations.
ASSET_044,docs/chile_project_assets/README.md,Chile Project Assets README,other,index,yes,yes,yes,unclear,unclear,unclear,workflow_control,none,low,none,yes,no,no,low,context_only,Package orientation only. Useful for entry and guardrails but not for WS evidence or variable hardening.
