"object_id","display_name","object_group","classification","observation_status","theoretical_role","permitted_use","prohibited_use","evidence_stage","evidence_file","source_dataset","source_table","source_line","unit","coverage_start","coverage_end","observation_rows","future_review_required","promotion_to_core_capital","model_control_authorized","family_join_authorized","canonical_dataset_authorized"
"FIN__ME__net_stock_quantity_index","FIN_machinery_equipment_net_stock_quantity_index","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","observation_bearing_source_input","Financial fixed assets require a separate boundary decision before any analytical capital use.","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt402","34","Chain-type quantity index","1925","2024","100","yes","prohibited","no","no","no"
"FIN__NRC__cfc_current_cost","FIN_nonresidential_structures_cfc_current_cost","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","observation_bearing_source_input","Financial fixed assets require a separate boundary decision before any analytical capital use.","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt404","35","Millions of current dollars","1925","2024","100","yes","prohibited","no","no","no"
"FIN__NRC__gross_investment_current_cost","FIN_nonresidential_structures_gross_investment_current_cost","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","observation_bearing_source_input","Financial fixed assets require a separate boundary decision before any analytical capital use.","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt407","35","Millions of current dollars","1901","2024","124","yes","prohibited","no","no","no"
"FIN__NRC__net_stock_current_cost","FIN_nonresidential_structures_net_stock_current_cost","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","observation_bearing_source_input","Financial fixed assets require a separate boundary decision before any analytical capital use.","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt401","35","Millions of current dollars","1925","2024","100","yes","prohibited","no","no","no"
"FIN__NRC__net_stock_quantity_index","FIN_nonresidential_structures_net_stock_quantity_index","financial_fixed_asset_boundary_review","PARKED_FOR_FUTURE_RESEARCH","observation_bearing_source_input","Financial fixed assets require a separate boundary decision before any analytical capital use.","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt402","35","Chain-type quantity index","1925","2024","100","yes","prohibited","no","no","no"
"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","GOV_TRANS_highways_streets_cfc_current_cost","government_transportation_highways_and_streets","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","Highways and streets condition the frontier but are not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt703","14","Millions of current dollars","1925","2024","100","yes","prohibited","no","no","no"
"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","GOV_TRANS_highways_streets_gross_investment_current_cost","government_transportation_highways_and_streets","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","Highways and streets condition the frontier but are not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt705","14","Millions of current dollars","1901","2024","124","yes","prohibited","no","no","no"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","GOV_TRANS_highways_streets_net_stock_current_cost","government_transportation_highways_and_streets","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","Highways and streets condition the frontier but are not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt701","14","Millions of current dollars","1925","2024","100","yes","prohibited","no","no","no"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","GOV_TRANS_highways_streets_net_stock_quantity_index","government_transportation_highways_and_streets","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","Highways and streets condition the frontier but are not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt702","14","Chain-type quantity index","1925","2024","100","yes","prohibited","no","no","no"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","GOV_TRANS_transportation_structures_cfc_current_cost","government_transportation_structures","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","Government transportation structures condition the frontier but are not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt703","12","Millions of current dollars","1925","2024","100","yes","prohibited","no","no","no"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","GOV_TRANS_transportation_structures_gross_investment_current_cost","government_transportation_structures","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","Government transportation structures condition the frontier but are not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt705","12","Millions of current dollars","1901","2024","124","yes","prohibited","no","no","no"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","GOV_TRANS_transportation_structures_net_stock_current_cost","government_transportation_structures","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","Government transportation structures condition the frontier but are not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt701","12","Millions of current dollars","1925","2024","100","yes","prohibited","no","no","no"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","GOV_TRANS_transportation_structures_net_stock_quantity_index","government_transportation_structures","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","Government transportation structures condition the frontier but are not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt702","12","Chain-type quantity index","1925","2024","100","yes","prohibited","no","no","no"
"CORP__IPP__cfc_current_cost","CORP_intellectual_property_products_cfc_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt404","20","Millions of current dollars","1925","2024","100","yes","prohibited","no","no","no"
"CORP__IPP__gross_investment_current_cost","CORP_intellectual_property_products_gross_investment_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt407","20","Millions of current dollars","1901","2024","124","yes","prohibited","no","no","no"
"CORP__IPP__net_stock_current_cost","CORP_intellectual_property_products_net_stock_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt401","20","Millions of current dollars","1925","2024","100","yes","prohibited","no","no","no"
"CORP__IPP__net_stock_quantity_index","CORP_intellectual_property_products_net_stock_quantity_index","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt402","20","Chain-type quantity index","1925","2024","100","yes","prohibited","no","no","no"
"FIN__IPP__cfc_current_cost","FIN_intellectual_property_products_cfc_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt404","36","Millions of current dollars","1925","2024","100","yes","prohibited","no","no","no"
"FIN__IPP__gross_investment_current_cost","FIN_intellectual_property_products_gross_investment_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt407","36","Millions of current dollars","1901","2024","124","yes","prohibited","no","no","no"
"FIN__IPP__net_stock_current_cost","FIN_intellectual_property_products_net_stock_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt401","36","Millions of current dollars","1925","2024","100","yes","prohibited","no","no","no"
"FIN__IPP__net_stock_quantity_index","FIN_intellectual_property_products_net_stock_quantity_index","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt402","36","Chain-type quantity index","1925","2024","100","yes","prohibited","no","no","no"
"NFC__IPP__cfc_current_cost","NFC_intellectual_property_products_cfc_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt404","40","Millions of current dollars","1925","2024","100","yes","prohibited","no","no","no"
"NFC__IPP__gross_investment_current_cost","NFC_intellectual_property_products_gross_investment_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt407","40","Millions of current dollars","1901","2024","124","yes","prohibited","no","no","no"
"NFC__IPP__net_stock_current_cost","NFC_intellectual_property_products_net_stock_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt401","40","Millions of current dollars","1925","2024","100","yes","prohibited","no","no","no"
"NFC__IPP__net_stock_quantity_index","NFC_intellectual_property_products_net_stock_quantity_index","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","FixedAssets","FAAt402","40","Chain-type quantity index","1925","2024","100","yes","prohibited","no","no","no"
"CORP__IPP__gross_stock_current_cost","CORP__IPP__gross_stock_current_cost","ipp_review_required","PARKED_FOR_FUTURE_RESEARCH","excluded_or_deferred_no_observations","Preserve as a required gap. Do not substitute net stock or construct GPIM here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"CORP__IPP__official_price_index","CORP__IPP__official_price_index","ipp_review_required","DIAGNOSTIC_ONLY","excluded_or_deferred_no_observations","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"CORP__IPP__retirements","CORP__IPP__retirements","ipp_review_required","PARKED_FOR_FUTURE_RESEARCH","excluded_or_deferred_no_observations","Retain as an explicit provider gap; no residual construction is permitted here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
"CORP__IPP__revaluation_holding_gains","CORP__IPP__revaluation_holding_gains","ipp_review_required","PARKED_FOR_FUTURE_RESEARCH","excluded_or_deferred_no_observations","Retain as an explicit provider gap; no residual construction is permitted here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","S21_variable_menu_v1","","","","","","0","yes","prohibited","no","no","no"
